sub1333.10856,sub13
T-1_EW_PW_B-1_C7_P6026_S13_0820144746.csv35.29995,T-1_EW_PW_B-1_C7_P6026_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P8082_S13_0820144746.csv37.33291,T-1_EW_PW_B-1_C7_P8082_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P10154_S13_0820144746.csv39.3969,T-1_EW_PW_B-1_C7_P10154_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P12220_S13_0820144746.csv41.49481,T-1_EW_PW_B-1_C7_P12220_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P14287_S13_0820144746.csv43.55952,T-1_EW_PW_B-1_C7_P14287_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P16346_S13_0820144746.csv45.62458,T-1_EW_PW_B-1_C7_P16346_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P18399_S13_0820144746.csv47.66649,T-1_EW_PW_B-1_C7_P18399_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P20465_S13_0820144746.csv49.75379,T-1_EW_PW_B-1_C7_P20465_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P22506_S13_0820144746.csv51.75368,T-1_EW_PW_B-1_C7_P22506_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P24574_S13_0820144746.csv53.85238,T-1_EW_PW_B-1_C7_P24574_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P26642_S13_0820144746.csv55.91574,T-1_EW_PW_B-1_C7_P26642_S13_0820144746.csv
T-1_EW_PW_B-1_C7_P28698_S13_0820144746.csv57.94809,T-1_EW_PW_B-1_C7_P28698_S13_0820144746.csv
SendingSTARTatBreak
T5_EW_PW_B0_C0_P30426_S13_0820144746.csv59.68053,T5_EW_PW_B0_C0_P30426_S13_0820144746.csv
T5_EW_PW_B0_C0_P32478_S13_0820144746.csv61.745,T5_EW_PW_B0_C0_P32478_S13_0820144746.csv
SendingSTARTatCenter
PAUSEtoLOG
LOGtoWAIT
T0_EW_PW_B0_C1_P40376_S13_0820144746.csv69.63886,T0_EW_PW_B0_C1_P40376_S13_0820144746.csv
T0_EW_PW_B0_C1_P42420_S13_0820144746.csv71.67078,T0_EW_PW_B0_C1_P42420_S13_0820144746.csv
T0_EW_PW_B0_C1_P44471_S13_0820144746.csv73.77029,T0_EW_PW_B0_C1_P44471_S13_0820144746.csv
T0_EW_PW_B0_C1_P46527_S13_0820144746.csv75.79971,T0_EW_PW_B0_C1_P46527_S13_0820144746.csv
T0_EW_PW_B0_C1_P48586_S13_0820144746.csv77.86575,T0_EW_PW_B0_C1_P48586_S13_0820144746.csv
T0_EW_PW_B0_C1_P50624_S13_0820144746.csv79.89954,T0_EW_PW_B0_C1_P50624_S13_0820144746.csv
T0_EW_PW_B0_C1_P52679_S13_0820144746.csv81.92808,T0_EW_PW_B0_C1_P52679_S13_0820144746.csv
T0_EW_PW_B0_C1_P54744_S13_0820144746.csv84.02629,T0_EW_PW_B0_C1_P54744_S13_0820144746.csv
T0_EW_PW_B0_C1_P56792_S13_0820144746.csv86.05814,T0_EW_PW_B0_C1_P56792_S13_0820144746.csv
SendingSTARTatCenter
PAUSEtoLOG
LOGtoWAIT
T3_EW_PW_B0_C2_P65298_S13_0820144746.csv94.55206,T3_EW_PW_B0_C2_P65298_S13_0820144746.csv
T3_EW_PW_B0_C2_P67362_S13_0820144746.csv96.68345,T3_EW_PW_B0_C2_P67362_S13_0820144746.csv
T3_EW_PW_B0_C2_P69432_S13_0820144746.csv98.68067,T3_EW_PW_B0_C2_P69432_S13_0820144746.csv
T3_EW_PW_B0_C2_P71491_S13_0820144746.csv100.7447,T3_EW_PW_B0_C2_P71491_S13_0820144746.csv
T3_EW_PW_B0_C2_P73564_S13_0820144746.csv102.8115,T3_EW_PW_B0_C2_P73564_S13_0820144746.csv
T3_EW_PW_B0_C2_P75620_S13_0820144746.csv104.8751,T3_EW_PW_B0_C2_P75620_S13_0820144746.csv
SendingSTARTatCenter
PAUSEtoLOG
LOGtoWAIT
T6_EW_PW_B0_C3_P83458_S13_0820144746.csv112.8017,T6_EW_PW_B0_C3_P83458_S13_0820144746.csv
T6_EW_PW_B0_C3_P85524_S13_0820144746.csv114.8013,T6_EW_PW_B0_C3_P85524_S13_0820144746.csv
